GOCI2_Latitude,GOCI2_Longitude,Himawari_Latitude,Himawari_Longitude,Chlorophyll,Albedo_01,Albedo_02,Albedo_03,Albedo_04
25.356112,129.10747,25.36,129.11,0.08896975,0.119399995,0.0808,0.033099998,0.0154
29.525917,123.77473,29.53,123.77,0.6308848,0.115899995,0.0844,0.0392,0.0202
27.7033,135.45804,27.7,135.46,0.08271564,0.1099,0.0713,0.026899999,0.011299999
29.760118,133.8849,29.76,133.88,0.14639272,0.1266,0.0879,0.0394,0.0202
35.01612,125.49469,35.02,125.49,0.44009784,0.1147,0.081999995,0.0352,0.015999999
31.915194,127.55136,31.92,127.55,0.22119778,0.12,0.085599996,0.038599998,0.0244
32.677906,129.46458,32.68,129.46,0.26513463,0.1182,0.0844,0.0401,0.0196
26.611765,140.22688,26.61,140.23,0.076121025,0.1165,0.0731,0.0312,0.011899999
32.618526,132.58945,32.620003,132.59,0.27725834,0.1182,0.083799995,0.036399998,0.017199999
33.510273,136.41412,33.510002,136.41,0.19172731,0.2514,0.2175,0.1707,0.2312
31.985943,142.8231,31.99,142.82,0.080982596,0.1147,0.0743,0.0319,0.0131
35.599197,124.62231,35.6,124.62,0.56797475,0.12239999,0.0885,0.0401,0.022
30.373903,138.4207,30.37,138.42,0.116097234,0.1171,0.0808,0.036399998,0.023799999
26.739607,131.35704,26.74,131.36,0.09911082,0.1301,0.0909,0.051799998,0.0357
33.6707,136.47122,33.67,136.47,0.18310215,0.1129,0.077199996,0.0315,0.0131
31.23401,123.075066,31.23,123.08,0.866624,0.12539999,0.0933,0.044999998,0.024999999
35.779907,135.67706,35.78,135.68,0.3351039,0.115899995,0.0814,0.031799998,0.0154
34.046577,140.67911,34.05,140.68,0.11435744,0.1099,0.071899995,0.0263,0.0083
28.773748,139.78561,28.77,139.79,0.37416086,0.1165,0.0784,0.033,0.017199999
30.99887,123.54927,31.0,123.55,1.1046917,0.12239999,0.0915,0.045199998,0.022599999
31.013271,136.22363,31.01,136.22,0.19903594,0.1064,0.0725,0.0275,0.012499999
26.800245,132.43297,26.800001,132.43,0.079186805,0.105799995,0.070099995,0.024799999,0.0101
29.860489,130.66238,29.86,130.66,0.19829848,0.15269999,0.1147,0.067,0.0499
26.672033,141.32767,26.67,141.33,0.086819865,0.1087,0.0707,0.0267,0.011299999
26.52257,133.52011,26.52,133.52,0.07033472,0.1087,0.0725,0.026899999,0.011899999
27.093163,125.92921,27.09,125.93,0.14562267,0.1129,0.0761,0.0313,0.0143
28.675264,126.53028,28.68,126.53,0.22814491,0.105799995,0.0731,0.0284,0.012499999
42.552322,134.14845,42.55,134.15,2.4951952,0.121199995,0.0862,0.0349,0.0149
26.242327,134.06326,26.24,134.06,0.059594207,0.11229999,0.0749,0.033299997,0.0166
31.712042,124.52457,31.710001,124.52,0.6361753,0.1426,0.1105,0.0633,0.0416
37.366592,141.64366,37.37,141.64,0.32156643,0.1165,0.0814,0.0336,0.0137
