Albedo_01,Albedo_02,Albedo_03,Albedo_04,Chlorophyll
0.1503,0.11229999,0.0655,0.0398,0.23057091
0.139,0.1004,0.0502,0.030299999,0.15764064
0.12889999,0.098,0.0477,0.026099999,1.7810844
0.115899995,0.0808,0.033299997,0.015999999,0.23299053
0.119399995,0.0802,0.0334,0.0166,0.09839174
0.124199994,0.087299995,0.0446,0.029099999,0.14495297
0.1182,0.078999996,0.03,0.0131,0.09836161
0.1278,0.087299995,0.0449,0.0309,0.07757587
0.115899995,0.078999996,0.0324,0.0166,0.14132446
0.121199995,0.0808,0.0308,0.011299999,0.15037929
0.1165,0.076699995,0.032199997,0.0166,0.12141749
0.114099994,0.0778,0.033099998,0.0154,0.10411425
0.1313,0.0998,0.0466,0.022,2.2298634
0.1188,0.0826,0.0343,0.0154,0.29529557
0.1182,0.0808,0.033999998,0.0166,0.10014379
0.1218,0.081999995,0.037299998,0.019,0.13198948
0.122999996,0.0879,0.037,0.015999999,0.49013284
0.12,0.0933,0.067099996,0.1349,0.37648818
0.1135,0.0749,0.0297,0.017199999,0.068646826
0.1028,0.067099996,0.026099999,0.012499999,0.1231259
0.121199995,0.085,0.0371,0.0178,0.13260478
0.126,0.0897,0.0385,0.0184,0.2841671
0.122999996,0.0802,0.0374,0.0131,0.09599106
0.1171,0.0862,0.0368,0.0166,1.9125965
0.121199995,0.086799994,0.0398,0.0202,0.221918
0.126,0.0915,0.041899998,0.021399999,0.5062032
0.1278,0.0927,0.0458,0.0285,0.2993524
0.1188,0.0844,0.038,0.0184,0.25389293
0.1278,0.0885,0.0383,0.017199999,0.15083544
0.1634,0.1361,0.081999995,0.060599998,0.22724378
0.15689999,0.1206,0.0836,0.0743,0.10849726
0.1064,0.0731,0.028099999,0.0106999995,0.21519323
0.12,0.0814,0.0343,0.017199999,0.116030835
0.1171,0.081999995,0.0343,0.0154,0.30916986
0.1117,0.0749,0.0284,0.0064999997,0.12357761
0.1117,0.0761,0.030299999,0.0106999995,0.12052371
0.114099994,0.0796,0.03,0.0178,0.07503781
0.1064,0.0683,0.025799999,0.0089,0.076895885
0.1081,0.070099995,0.0267,0.011899999,0.07670146
0.1171,0.0814,0.033999998,0.017199999,0.23551863
0.117699996,0.0808,0.0337,0.0154,0.10106556
0.1135,0.077199996,0.0321,0.015999999,0.13507497
0.1379,0.0998,0.056199998,0.0404,0.27329707
0.117699996,0.0784,0.0324,0.0149,0.07888054
0.1064,0.0683,0.0257,0.0089,0.12325729
0.1171,0.0778,0.0321,0.0149,0.09068035
0.1147,0.0778,0.033999998,0.0178,0.18150972
0.1182,0.078999996,0.038,0.022,0.029201703
0.114099994,0.0808,0.033299997,0.0137,0.22527473
0.12539999,0.087299995,0.0371,0.0178,0.1575457
0.1319,0.0951,0.040999997,0.0208,0.5210343
0.14559999,0.1052,0.0484,0.0256,0.34214485
0.11229999,0.0784,0.0316,0.0154,0.1481373
0.114099994,0.0778,0.032199997,0.0166,0.13635461
0.19309999,0.1652,0.121999994,0.1153,0.40224472
0.1165,0.0808,0.036399998,0.0196,0.10436097
0.1182,0.0826,0.0414,0.0244,0.07170177
0.12239999,0.083799995,0.0468,0.030299999,0.09567411
0.1236,0.0826,0.038,0.0166,0.07858909
0.126,0.087299995,0.0409,0.0202,0.07891409
0.11229999,0.0713,0.0287,0.0106999995,0.08063876
0.12239999,0.0879,0.036199998,0.0166,0.44651115
0.1171,0.0832,0.0368,0.019,0.34483856
0.1129,0.0743,0.029099999,0.0149,0.16767457
0.1153,0.081999995,0.0343,0.015999999,0.43604288
0.1105,0.0731,0.0276,0.0106999995,0.08653304
0.3173,0.27809998,0.2366,0.2502,0.35132685
0.1105,0.0749,0.0308,0.011299999,0.19262888
0.111099996,0.076699995,0.0308,0.0143,0.25668693
0.1248,0.0915,0.042799998,0.022599999,0.43715298
0.114099994,0.073699996,0.0315,0.0143,0.056744702
0.117699996,0.0784,0.0343,0.0137,0.11594523
0.111099996,0.073699996,0.0278,0.012499999,0.21318129
0.1099,0.0713,0.0267,0.011299999,0.0792694
0.107599996,0.071899995,0.026099999,0.011299999,0.113427386
0.1081,0.070099995,0.0256,0.011299999,0.09509217
0.114099994,0.0808,0.0365,0.0178,0.51600486
0.1081,0.0689,0.0267,0.0106999995,0.07110946
0.2092,0.1765,0.15429999,0.16399999,0.24159074
0.1105,0.071899995,0.0264,0.0095,0.07568292
0.111099996,0.0743,0.0284,0.011299999,0.10554374
0.12719999,0.0909,0.0376,0.0154,0.43450043
0.1206,0.0862,0.0371,0.0178,0.2545596
0.115899995,0.083799995,0.0354,0.017199999,0.31022054
0.1105,0.0761,0.0309,0.0154,0.23388559
0.1337,0.0927,0.047799997,0.0357,0.1267051
0.1153,0.0761,0.0312,0.0154,0.054034516
0.1135,0.078999996,0.0328,0.0166,0.3128772
0.11229999,0.076699995,0.0312,0.011899999,0.17220059
0.1129,0.0808,0.0349,0.0166,0.42411476
0.1153,0.0814,0.036199998,0.017199999,0.3140364
0.126,0.0909,0.0407,0.0202,0.4358862
0.1218,0.083799995,0.0361,0.0178,0.17483555
0.1301,0.0915,0.0426,0.021399999,0.16472442
0.107599996,0.0725,0.0278,0.011299999,0.2149444
0.1147,0.0749,0.0284,0.0106999995,0.11729652
0.12239999,0.083799995,0.046099998,0.0154,0.090386294
0.1147,0.076699995,0.031799998,0.0149,0.12186419
0.1236,0.0844,0.0349,0.023799999,0.09836312
0.1628,0.115899995,0.072799996,0.0761,0.44287506
0.1117,0.076699995,0.0313,0.011299999,0.24445143
0.12239999,0.0862,0.0367,0.0184,0.27035397
0.1129,0.0731,0.0339,0.0154,0.07239011
0.126,0.0862,0.038799997,0.0202,0.108376995
0.167,0.1301,0.0896,0.081999995,0.08418201
0.121199995,0.083799995,0.0365,0.019,0.09985627
0.1064,0.0713,0.0267,0.0089,0.19582956
0.139,0.1016,0.0466,0.022,0.66811246
0.1301,0.092099994,0.0429,0.0208,0.17666431
0.145,0.122999996,0.083,0.0725,0.5354379
0.1099,0.0713,0.024999999,0.0089,0.09107673
0.1129,0.078999996,0.034199998,0.0149,0.25649622
0.124199994,0.0885,0.0358,0.0149,0.49337354
0.119399995,0.0808,0.031,0.012499999,0.12255384
0.1087,0.0707,0.026999999,0.0106999995,0.05324172
0.1171,0.081999995,0.0343,0.0143,0.2702189
0.105799995,0.070099995,0.025999999,0.0101,0.13747838
0.109299995,0.0713,0.026899999,0.011899999,0.09400629
0.1153,0.0796,0.033,0.015999999,0.20550877
0.13069999,0.099199995,0.0495,0.0285,1.1083515
0.124199994,0.0844,0.0371,0.0202,0.113020994
0.1171,0.0796,0.0324,0.017199999,0.11058504
0.1105,0.0725,0.0273,0.011299999,0.10033642
0.1266,0.0909,0.0401,0.0208,0.4650794
0.1319,0.0951,0.043399997,0.0208,0.5662231
0.1373,0.1099,0.0556,0.0178,2.6180458
0.1266,0.0915,0.0407,0.0208,0.6329631
0.122999996,0.083799995,0.038,0.0196,0.09377231
0.107,0.070099995,0.025999999,0.0089,0.12666932
0.1866,0.1545,0.106699996,0.1105,0.42002976
0.1753,0.121199995,0.0949,0.0493,0.17532802
0.1343,0.0975,0.046099998,0.0267,0.2503461
0.115899995,0.0844,0.037699997,0.022,0.60035014
0.107599996,0.0802,0.033299997,0.011899999,0.26026
0.1099,0.0743,0.0336,0.015999999,0.13745587
0.1105,0.071899995,0.0296,0.0149,0.049948126
0.1165,0.077199996,0.035099998,0.0202,0.15691873
0.107,0.0731,0.029099999,0.011899999,0.28437
0.1165,0.0796,0.0316,0.015999999,0.13504146
0.1426,0.109299995,0.0605,0.0481,0.16935293
0.1153,0.083799995,0.0368,0.017199999,0.58453095
0.1081,0.0755,0.0309,0.011899999,0.21583511
0.1171,0.0784,0.033,0.0149,0.10948259
0.1325,0.0945,0.0449,0.0244,0.16662838
0.1373,0.0969,0.0466,0.026099999,0.14141051
0.1171,0.086799994,0.039699998,0.0273,0.5827813
0.126,0.0903,0.0382,0.0178,0.5353396
0.12,0.085599996,0.0365,0.017199999,0.56185204
0.12539999,0.095699996,0.0486,0.0297,0.5341428
0.1081,0.070099995,0.026899999,0.011899999,0.08294845
0.1735,0.1361,0.0927,0.117699996,0.062368717
0.1373,0.0998,0.0526,0.0368,0.28381163
0.105799995,0.070099995,0.0264,0.011299999,0.19957688
0.20619999,0.1664,0.1295,0.1408,0.10790557
0.1052,0.0677,0.0244,0.0101,0.08780668
0.107,0.073699996,0.027199998,0.0106999995,0.22814971
0.1105,0.0707,0.0257,0.0095,0.08933113
0.1206,0.0844,0.0416,0.0285,0.163451
0.1188,0.0796,0.0346,0.0154,0.1631143
0.119399995,0.086799994,0.0409,0.0244,0.4911674
0.1331,0.1004,0.051099997,0.036199998,0.08396186
0.107,0.070099995,0.0256,0.0106999995,0.20135908
0.1105,0.0707,0.0256,0.0089,0.07931752
0.107599996,0.0683,0.024799999,0.0095,0.054175828
0.119399995,0.086799994,0.0429,0.026099999,0.15521766
0.1284,0.0945,0.0492,0.0345,0.19453914
0.11229999,0.0725,0.0263,0.0101,0.09465643
0.1319,0.0998,0.0541,0.0357,1.1755033
0.13069999,0.0975,0.0449,0.026099999,0.2734063
0.11229999,0.076699995,0.0315,0.0149,0.1195683
0.1099,0.0749,0.030499998,0.011899999,0.22378768
0.11229999,0.073699996,0.0287,0.0131,0.08259564
